File_path,File_name,Instrument,Start_time,End_time,Index,Instrument_encoded,Instrument_0,Instrument_1,Instrument_2,Instrument_3,Instrument_4
/content/drive/MyDrive/Drums/Snare 47 (Roy Ayers - It Ain't Your Sign It's Your Mind (Album Version)).wav,Snare 47 (Roy Ayers - It Ain't Your Sign It's Your Mind (Album Version)),Snare,0,0.416281179138322,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 48 (Bob James - Take Me To The Mardi Gras).wav,Snare 48 (Bob James - Take Me To The Mardi Gras),Snare,0,0.2927891156462585,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 17 (Bob James - Brighton By The Sea).wav,Open hat 17 (Bob James - Brighton By The Sea),Open Hat,0,0.9356916099773243,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 49 (brushed) (Bob James - We're All Alone).wav,Snare 49 (brushed) (Bob James - We're All Alone),Snare,0,0.3235827664399093,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/808 - Ice.wav,808 - Ice,808,0,1.9575510204081632,1,3,0.0,0.0,0.0,1.0,0.0
/content/drive/MyDrive/Drums/808 - Frosted Flakes.wav,808 - Frosted Flakes,808,0,2.4839455782312925,1,3,0.0,0.0,0.0,1.0,0.0
/content/drive/MyDrive/Drums/808 - 5K.wav,808 - 5K,808,0,4.179501133786848,1,3,0.0,0.0,0.0,1.0,0.0
/content/drive/MyDrive/Drums/808 - Piano.wav,808 - Piano,808,0,2.4123356009070296,1,3,0.0,0.0,0.0,1.0,0.0
/content/drive/MyDrive/Drums/808 - Ghost.wav,808 - Ghost,808,0,2.6100680272108843,1,3,0.0,0.0,0.0,1.0,0.0
/content/drive/MyDrive/Drums/Kick - Secret.wav,Kick - Secret,Kick,0,0.21229024943310656,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick - Super Phat.wav,Kick - Super Phat,Kick,0,0.27755102040816326,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick - Ultra Phat.wav,Kick - Ultra Phat,Kick,0,0.31909297052154195,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare - Melo.wav,Snare - Melo,Snare,0,0.1071655328798186,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare - Iced Out.wav,Snare - Iced Out,Snare,0,0.41827664399092973,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare - Crazy.wav,Snare - Crazy,Snare,0,0.24820861678004535,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare - Layer.wav,Snare - Layer,Snare,0,1.1731972789115646,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare - Lol.wav,Snare - Lol,Snare,0,0.13541950113378684,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/808 - Astro.wav,808 - Astro,808,0,3.9604081632653063,1,3,0.0,0.0,0.0,1.0,0.0
/content/drive/MyDrive/Drums/808 - Clean.wav,808 - Clean,808,0,3.2164172335600907,1,3,0.0,0.0,0.0,1.0,0.0
/content/drive/MyDrive/Drums/OH - Split.wav,OH - Split,Open Hat,0,0.7991383219954649,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/OH - Babe.wav,OH - Babe,Open Hat,0,0.3957823129251701,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/OH - Short.wav,OH - Short,Open Hat,0,0.1436734693877551,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/OH - Rain.wav,OH - Rain,Open Hat,0,0.32213151927437644,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/OH - Soft.wav,OH - Soft,Open Hat,0,0.36439909297052153,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/OH - Swing.wav,OH - Swing,Open Hat,0,0.5682539682539682,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/OH - Rat.wav,OH - Rat,Open Hat,0,0.206984126984127,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/OH - ABC.wav,OH - ABC,Open Hat,0,0.19795918367346937,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare - Hard.wav,Snare - Hard,Snare,0,3.1587301587301586,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 50 (Bob James - Heads).wav,Snare 50 (Bob James - Heads),Snare,0,0.2601360544217687,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 30 (Bob James - Heads).wav,Snare 30 (Bob James - Heads),Snare,0,0.4384126984126984,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 39 (Bob James - Heads).wav,Kick 39 (Bob James - Heads),Kick,0,0.27718820861678006,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 40 (Bob James - Heads).wav,Kick 40 (Bob James - Heads),Kick,0,0.22489795918367347,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 52 (Bob James - You Are So Beautiful).wav,Snare 52 (Bob James - You Are So Beautiful),Snare,0,0.4389569160997732,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 41 (Bob James - I'm In You).wav,Kick 41 (Bob James - I'm In You),Kick,0,0.26571428571428574,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 53 (Bob James - Look-Alike).wav,Snare 53 (Bob James - Look-Alike),Snare,0,0.34399092970521544,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 54 (Bob James - Fireball).wav,Snare 54 (Bob James - Fireball),Snare,0,0.9861678004535147,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 55 (Bob James - Shamboozie).wav,Snare 55 (Bob James - Shamboozie),Snare,0,0.15151927437641724,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 18 (Bob James - Shamboozie).wav,Open hat 18 (Bob James - Shamboozie),Open Hat,0,0.5122902494331065,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 42 (Breakwater - You Know I Love You).wav,Kick 42 (Breakwater - You Know I Love You),Kick,0,0.19392290249433106,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 43 (Breakwater - You Know I Love You).wav,Kick 43 (Breakwater - You Know I Love You),Kick,0,0.19392290249433106,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 19 (Breakwater - You Know I Love You).wav,Open hat 19 (Breakwater - You Know I Love You),Open Hat,0,0.3541496598639456,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 44 (Billy Cobham - Siesta _ Wake Up _ That's What I Said).wav,Kick 44 (Billy Cobham - Siesta _ Wake Up _ That's What I Said),Kick,0,0.38439909297052155,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 20 (Billy Cobham - Siesta _ Wake Up _ That's What I Said).wav,Open hat 20 (Billy Cobham - Siesta _ Wake Up _ That's What I Said),Open Hat,0,0.3995011337868481,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 45 (Billy Cobham - Searching for the Right Door).wav,Kick 45 (Billy Cobham - Searching for the Right Door),Kick,0,0.08063492063492063,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 56 (Billy Cobham - Searching for the Right Door).wav,Snare 56 (Billy Cobham - Searching for the Right Door),Snare,0,0.6384126984126984,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 57 (Billy Cobham - Taurian Matador).wav,Snare 57 (Billy Cobham - Taurian Matador),Snare,0,0.4435374149659864,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 58 (Billy Cobham - Le Lis).wav,Snare 58 (Billy Cobham - Le Lis),Snare,0,0.20222222222222222,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 59 (Billy Cobham - Le Lis).wav,Snare 59 (Billy Cobham - Le Lis),Snare,0,0.18086167800453515,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 60 (Billy Cobham - Red Baron).wav,Snare 60 (Billy Cobham - Red Baron),Snare,0,0.34680272108843535,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 61 (Billy Cobham - A Funky Kind of Thing).wav,Snare 61 (Billy Cobham - A Funky Kind of Thing),Snare,0,2.323764172335601,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 46 (Electra - Feels Good (Carrots & Beets)).wav,Kick 46 (Electra - Feels Good (Carrots & Beets)),Kick,0,0.24689342403628117,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 62 (Touche - Wrap It Up).wav,Snare 62 (Touche - Wrap It Up),Snare,0,0.369297052154195,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 63 (Touche - Wrap It Up).wav,Snare 63 (Touche - Wrap It Up),Snare,0,0.27573696145124715,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 21 (Touche - Wrap It Up).wav,Open hat 21 (Touche - Wrap It Up),Open Hat,0,0.14603174603174604,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 47 (Touche - Wrap It Up).wav,Kick 47 (Touche - Wrap It Up),Kick,0,0.21587301587301588,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 64 (Tina Fabrik - Non Stop).wav,Snare 64 (Tina Fabrik - Non Stop),Snare,0,0.22848072562358276,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 65 (Tina Fabrik - Non Stop).wav,Snare 65 (Tina Fabrik - Non Stop),Snare,0,0.20594104308390024,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 48 (Tina Fabrik - Non Stop).wav,Kick 48 (Tina Fabrik - Non Stop),Kick,0,0.34276643990929706,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 66 (The Pr Tv Orchestra - Winged).wav,Snare 66 (The Pr Tv Orchestra - Winged),Snare,0,0.3236734693877551,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 67 (Billy Cobham - Lunarputians).wav,Snare 67 (Billy Cobham - Lunarputians),Snare,0,0.26040816326530614,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 68 (Billy Cobham - Lunarputians).wav,Snare 68 (Billy Cobham - Lunarputians),Snare,0,0.16299319727891157,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 49 (Billy Cobham - Last Frontier).wav,Kick 49 (Billy Cobham - Last Frontier),Kick,0,0.5397732426303855,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 69 (Billy Cobham - Last Frontier).wav,Snare 69 (Billy Cobham - Last Frontier),Snare,0,0.23224489795918368,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 70 (Billy Cobham - Last Frontier).wav,Snare 70 (Billy Cobham - Last Frontier),Snare,0,0.4056235827664399,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 71 (Billy Cobham - Taurian Matador (Revised) (Live in Europe)).wav,Snare 71 (Billy Cobham - Taurian Matador (Revised) (Live in Europe)),Snare,0,0.32562358276643993,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 72 (Billy Cobham - Red Baron (Revised) (Live in Europe)).wav,Snare 72 (Billy Cobham - Red Baron (Revised) (Live in Europe)),Snare,0,0.2975510204081633,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 50 (Billy Cobham - Shabazz (Recorded Live in Europe)).wav,Kick 50 (Billy Cobham - Shabazz (Recorded Live in Europe)),Kick,0,0.4307482993197279,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 75 (Billy Cobham - Tenth Pinn (Live in Europe)).wav,Snare 75 (Billy Cobham - Tenth Pinn (Live in Europe)),Snare,0,1.4076190476190475,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 73 (Billy Cobham - Tenth Pinn (Live in Europe)).wav,Snare 73 (Billy Cobham - Tenth Pinn (Live in Europe)),Snare,0,1.220408163265306,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 74 (Billy Cobham - Tenth Pinn (Live in Europe)).wav,Snare 74 (Billy Cobham - Tenth Pinn (Live in Europe)),Snare,0,0.45424036281179136,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 51 (Billy Cobham - Tenth Pinn (Live in Europe)).wav,Kick 51 (Billy Cobham - Tenth Pinn (Live in Europe)),Kick,0,0.3743310657596372,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 52 (Billy Cobham - Tenth Pinn (Live in Europe)).wav,Kick 52 (Billy Cobham - Tenth Pinn (Live in Europe)),Kick,0,0.9934693877551021,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 22 (Claude Fran_ois - Eve).wav,Open hat 22 (Claude Fran_ois - Eve),Open Hat,0,0.2383219954648526,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 23 (Claude Fran_ois - Eve).wav,Open hat 23 (Claude Fran_ois - Eve),Open Hat,0,0.23505668934240362,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 53 (Claude Fran_ois - Cette ann_e-l_).wav,Kick 53 (Claude Fran_ois - Cette ann_e-l_),Kick,0,0.500453514739229,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 24 (Claude Fran_ois - Cette ann_e-l_).wav,Open hat 24 (Claude Fran_ois - Cette ann_e-l_),Open Hat,0,0.29609977324263037,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 25 (Claude Fran_ois - Cette ann_e-l_).wav,Open hat 25 (Claude Fran_ois - Cette ann_e-l_),Open Hat,0,0.28131519274376415,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 54 (The PR TV Group & Strings - Pop Propulsion).wav,Kick 54 (The PR TV Group & Strings - Pop Propulsion),Kick,0,0.5927437641723357,0,1,0.0,1.0,0.0,0.0,0.0
"/content/drive/MyDrive/Drums/Kick 55 (Branislav Zivkovic - Slow Action, Pt. 2).wav","Kick 55 (Branislav Zivkovic - Slow Action, Pt",Kick,0,0.42412698412698413,0,1,0.0,1.0,0.0,0.0,0.0
"/content/drive/MyDrive/Drums/Snare 76 (Branislav Zivkovic - Slow Action, Pt. 2).wav","Snare 76 (Branislav Zivkovic - Slow Action, Pt",Snare,0,0.3999092970521542,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 77 (Tickled Pink - Reach Out (And Give Me Your Hand)).wav,Snare 77 (Tickled Pink - Reach Out (And Give Me Your Hand)),Snare,0,0.30435374149659866,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 56 (Tickled Pink - Reach Out (And Give Me Your Hand)).wav,Kick 56 (Tickled Pink - Reach Out (And Give Me Your Hand)),Kick,0,0.4927437641723356,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 78 (Sunny & The Sunliners - Get Down).wav,Snare 78 (Sunny & The Sunliners - Get Down),Snare,0,0.1346031746031746,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 57 (Road Runners - Every Man For Himself).wav,Kick 57 (Road Runners - Every Man For Himself),Kick,0,0.32693877551020406,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 79 (Road Runners - Every Man For Himself).wav,Snare 79 (Road Runners - Every Man For Himself),Snare,0,0.29909297052154193,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 58 (Vern Blair Debate - Super Funk).wav,Kick 58 (Vern Blair Debate - Super Funk),Kick,0,0.21922902494331065,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 59 (Area - Guardati dal mese vicino all'aprile (2018 Remaster)).wav,Kick 59 (Area - Guardati dal mese vicino all'aprile (2018 Remaster)),Kick,0,0.24480725623582766,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 80 (Banco Del Mutuo Soccorso - Interno Citt_).wav,Snare 80 (Banco Del Mutuo Soccorso - Interno Citt_),Snare,0,0.16231292517006804,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 81 (Banco Del Mutuo Soccorso - Interno Citt_).wav,Snare 81 (Banco Del Mutuo Soccorso - Interno Citt_),Snare,0,0.519546485260771,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 82 (Penny Goodwin - Too Soon You're Old).wav,Snare 82 (Penny Goodwin - Too Soon You're Old),Snare,0,0.3901133786848073,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 83 (Penny Goodwin - Lady Day and John Coltrane).wav,Snare 83 (Penny Goodwin - Lady Day and John Coltrane),Snare,0,0.1927891156462585,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 60 (Penny Goodwin - What's Goin On).wav,Kick 60 (Penny Goodwin - What's Goin On),Kick,0,0.6409977324263039,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 84 (Penny Goodwin - What's Goin On).wav,Snare 84 (Penny Goodwin - What's Goin On),Snare,0,0.5247165532879818,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 85 (Milton Wright - Magic Music).wav,Snare 85 (Milton Wright - Magic Music),Snare,0,0.14988662131519273,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 86 (Milton Wright - Magic Music).wav,Snare 86 (Milton Wright - Magic Music),Snare,0,0.12761904761904763,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 87 (Milton Wright - All I Know Is That I Have You).wav,Snare 87 (Milton Wright - All I Know Is That I Have You),Snare,0,0.2816780045351474,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 88 (Milton Wright - All I Know Is That I Have You).wav,Snare 88 (Milton Wright - All I Know Is That I Have You),Snare,0,0.18303854875283446,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 89 (Milton Wright - Let's Take a Break).wav,Snare 89 (Milton Wright - Let's Take a Break),Snare,0,0.29378684807256233,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 61 (Milton Wright - Let's Take a Break).wav,Kick 61 (Milton Wright - Let's Take a Break),Kick,0,0.1275283446712018,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 62 (Milton Wright - Let's Take a Break).wav,Kick 62 (Milton Wright - Let's Take a Break),Kick,0,0.1275283446712018,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 63 (Milton Wright - Let's Take a Break).wav,Kick 63 (Milton Wright - Let's Take a Break),Kick,0,0.3056689342403628,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 26 (Milton Wright - Let's Take a Break).wav,Open hat 26 (Milton Wright - Let's Take a Break),Open Hat,0,0.2979138321995465,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 90 (Kellee Patterson - So in Tune with You).wav,Snare 90 (Kellee Patterson - So in Tune with You),Snare,0,0.24117913832199547,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 27 (Kellee Patterson - So in Tune with You).wav,Open hat 27 (Kellee Patterson - So in Tune with You),Open Hat,0,0.2439002267573696,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 91 (Kellee Patterson - You).wav,Snare 91 (Kellee Patterson - You),Snare,0,0.23959183673469386,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 92 (Kellee Patterson - You).wav,Snare 92 (Kellee Patterson - You),Snare,0,0.22031746031746033,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 93 (Jon Lucien - Would You Believe In Me).wav,Snare 93 (Jon Lucien - Would You Believe In Me),Snare,0,0.31188208616780044,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 94 (Jon Lucien - Would You Believe In Me).wav,Snare 94 (Jon Lucien - Would You Believe In Me),Snare,0,0.15959183673469388,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 95 (Jon Lucien - Ghetto Song).wav,Snare 95 (Jon Lucien - Ghetto Song),Snare,0,0.15210884353741497,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 64 (Jon Lucien - Ghetto Song).wav,Kick 64 (Jon Lucien - Ghetto Song),Kick,0,0.1292063492063492,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 28 (Jon Lucien - Ghetto Song).wav,Open hat 28 (Jon Lucien - Ghetto Song),Open Hat,0,0.24154195011337867,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 96 (Jon Lucien - Who Will Buy_).wav,Snare 96 (Jon Lucien - Who Will Buy_),Snare,0,0.2977324263038549,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 65 (Jon Lucien - Motherland).wav,Kick 65 (Jon Lucien - Motherland),Kick,0,0.24013605442176872,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 29 (O'Donel Levy - Panama Red).wav,Open hat 29 (O'Donel Levy - Panama Red),Open Hat,0,0.26458049886621315,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 30 (O'Donel Levy - Panama Red).wav,Open hat 30 (O'Donel Levy - Panama Red),Open Hat,0,0.2633106575963719,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 31 (Weldon Irvine - Quiet (In Memory of Duke Ellington)).wav,Open hat 31 (Weldon Irvine - Quiet (In Memory of Duke Ellington)),Open Hat,0,0.23913832199546486,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 97 (Lafayette Afro Rock Band - Hihache (Remastered)).wav,Snare 97 (Lafayette Afro Rock Band - Hihache (Remastered)),Snare,0,0.17736961451247166,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 66 (24-Carat Black - Gone The Promises of Yesterday).wav,Kick 66 (24-Carat Black - Gone The Promises of Yesterday),Kick,0,0.28131519274376415,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 67 (Matata - Mayo Mayo).wav,Kick 67 (Matata - Mayo Mayo),Kick,0,0.3105215419501134,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 68 (Matata - Talkin' Talkin').wav,Kick 68 (Matata - Talkin' Talkin'),Kick,0,0.15709750566893424,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 69 (Matata - Talkin' Talkin').wav,Kick 69 (Matata - Talkin' Talkin'),Kick,0,0.1457596371882086,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Kick 70 (Matata - Talkin' Talkin').wav,Kick 70 (Matata - Talkin' Talkin'),Kick,0,0.14816326530612245,0,1,0.0,1.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Open hat 32 (Matata - Talkin' Talkin').wav,Open hat 32 (Matata - Talkin' Talkin'),Open Hat,0,0.41328798185941046,3,2,0.0,0.0,1.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 98 (Matata - Talkin' Talkin').wav,Snare 98 (Matata - Talkin' Talkin'),Snare,0,0.28748299319727894,2,0,1.0,0.0,0.0,0.0,0.0
/content/drive/MyDrive/Drums/Snare 99 (Matata - Talkin' Talkin').wav,Snare 99 (Matata - Talkin' Talkin'),Snare,0,0.14226757369614512,2,0,1.0,0.0,0.0,0.0,0.0
